,run,p,reward,agent
171,8,0.9,1.0,NSA
172,8,0.9,0.0,naive SA
173,8,0.9,1.0,advanced SA
174,8,0.8,-1.0,RA
175,8,0.8,0.0,SRA
176,8,0.8,1.0,HA
177,8,0.8,1.0,NSA
178,8,0.8,0.0,naive SA
179,8,0.8,1.0,advanced SA
180,8,0.7,-1.0,RA
181,8,0.7,0.0,SRA
182,8,0.7,1.0,HA
183,8,0.7,1.0,NSA
184,8,0.7,0.0,naive SA
185,8,0.7,1.0,advanced SA
186,8,0.6,-1.0,RA
187,8,0.6,0.0,SRA
188,8,0.6,0.0,HA
189,8,0.6,1.0,NSA
190,8,0.6,0.0,naive SA
191,8,0.6,1.0,advanced SA
192,9,0.9,-1.0,RA
193,9,0.9,1.0,SRA
194,9,0.9,1.0,HA
195,9,0.9,1.0,NSA
196,9,0.9,1.0,naive SA
197,9,0.9,1.0,advanced SA
198,9,0.8,-1.0,RA
199,9,0.8,0.0,SRA
200,9,0.8,0.0,HA
201,9,0.8,1.0,NSA
202,9,0.8,0.0,naive SA
203,9,0.8,1.0,advanced SA
204,9,0.7,-1.0,RA
205,9,0.7,0.0,SRA
206,9,0.7,1.0,HA
207,9,0.7,1.0,NSA
208,9,0.7,1.0,naive SA
209,9,0.7,1.0,advanced SA
210,9,0.6,-1.0,RA
211,9,0.6,1.0,SRA
212,9,0.6,1.0,HA
213,9,0.6,1.0,NSA
214,9,0.6,1.0,naive SA
215,9,0.6,1.0,advanced SA
216,10,0.9,-1.0,RA
217,10,0.9,0.0,SRA
218,10,0.9,1.0,HA
219,10,0.9,1.0,NSA
220,10,0.9,1.0,naive SA
221,10,0.9,1.0,advanced SA
222,10,0.8,-1.0,RA
223,10,0.8,0.0,SRA
224,10,0.8,1.0,HA
225,10,0.8,1.0,NSA
226,10,0.8,1.0,naive SA
227,10,0.8,1.0,advanced SA
228,10,0.7,-1.0,RA
229,10,0.7,0.0,SRA
230,10,0.7,0.0,HA
231,10,0.7,1.0,NSA
232,10,0.7,1.0,naive SA
233,10,0.7,1.0,advanced SA
234,10,0.6,-1.0,RA
235,10,0.6,0.0,SRA
236,10,0.6,0.0,HA
237,10,0.6,1.0,NSA
238,10,0.6,0.0,naive SA
239,10,0.6,1.0,advanced SA
240,11,0.9,-1.0,RA
241,11,0.9,0.0,SRA
242,11,0.9,1.0,HA
243,11,0.9,1.0,NSA
244,11,0.9,1.0,naive SA
245,11,0.9,1.0,advanced SA
246,11,0.8,-1.0,RA
247,11,0.8,0.0,SRA
248,11,0.8,1.0,HA
249,11,0.8,1.0,NSA
250,11,0.8,1.0,naive SA
251,11,0.8,1.0,advanced SA
252,11,0.7,0.0,RA
253,11,0.7,0.0,SRA
254,11,0.7,1.0,HA
255,11,0.7,1.0,NSA
256,11,0.7,1.0,naive SA
257,11,0.7,1.0,advanced SA
258,11,0.6,-1.0,RA
259,11,0.6,0.0,SRA
260,11,0.6,1.0,HA
261,11,0.6,1.0,NSA
262,11,0.6,0.0,naive SA
263,11,0.6,1.0,advanced SA
264,12,0.9,-1.0,RA
265,12,0.9,1.0,SRA
266,12,0.9,1.0,HA
267,12,0.9,1.0,NSA
268,12,0.9,0.0,naive SA
269,12,0.9,1.0,advanced SA
270,12,0.8,-1.0,RA
271,12,0.8,0.0,SRA
272,12,0.8,1.0,HA
273,12,0.8,1.0,NSA
274,12,0.8,1.0,naive SA
275,12,0.8,1.0,advanced SA
276,12,0.7,-1.0,RA
277,12,0.7,0.0,SRA
278,12,0.7,1.0,HA
279,12,0.7,1.0,NSA
280,12,0.7,0.0,naive SA
281,12,0.7,1.0,advanced SA
282,12,0.6,-1.0,RA
283,12,0.6,0.0,SRA
284,12,0.6,0.0,HA
285,12,0.6,1.0,NSA
286,12,0.6,0.0,naive SA
287,12,0.6,1.0,advanced SA
288,13,0.9,-1.0,RA
289,13,0.9,0.0,SRA
290,13,0.9,1.0,HA
291,13,0.9,1.0,NSA
292,13,0.9,1.0,naive SA
293,13,0.9,1.0,advanced SA
294,13,0.8,-1.0,RA
295,13,0.8,0.0,SRA
296,13,0.8,1.0,HA
297,13,0.8,1.0,NSA
298,13,0.8,0.0,naive SA
299,13,0.8,1.0,advanced SA
300,13,0.7,-1.0,RA
301,13,0.7,0.0,SRA
302,13,0.7,1.0,HA
303,13,0.7,1.0,NSA
304,13,0.7,0.0,naive SA
305,13,0.7,1.0,advanced SA
306,13,0.6,-1.0,RA
307,13,0.6,0.0,SRA
308,13,0.6,0.0,HA
309,13,0.6,1.0,NSA
310,13,0.6,0.0,naive SA
311,13,0.6,1.0,advanced SA
312,14,0.9,-1.0,RA
313,14,0.9,0.0,SRA
314,14,0.9,1.0,HA
315,14,0.9,1.0,NSA
316,14,0.9,1.0,naive SA
317,14,0.9,1.0,advanced SA
318,14,0.8,-1.0,RA
319,14,0.8,0.0,SRA
320,14,0.8,1.0,HA
321,14,0.8,1.0,NSA
322,14,0.8,0.0,naive SA
323,14,0.8,1.0,advanced SA
324,14,0.7,-1.0,RA
325,14,0.7,0.0,SRA
326,14,0.7,1.0,HA
327,14,0.7,1.0,NSA
328,14,0.7,0.0,naive SA
329,14,0.7,1.0,advanced SA
330,14,0.6,-1.0,RA
331,14,0.6,0.0,SRA
332,14,0.6,1.0,HA
333,14,0.6,1.0,NSA
334,14,0.6,0.0,naive SA
335,14,0.6,1.0,advanced SA
336,15,0.9,-1.0,RA
337,15,0.9,0.0,SRA
338,15,0.9,1.0,HA
339,15,0.9,1.0,NSA
340,15,0.9,0.0,naive SA
341,15,0.9,1.0,advanced SA
342,15,0.8,-1.0,RA
343,15,0.8,0.0,SRA
344,15,0.8,1.0,HA
345,15,0.8,1.0,NSA
346,15,0.8,1.0,naive SA
347,15,0.8,1.0,advanced SA
348,15,0.7,-1.0,RA
349,15,0.7,0.0,SRA
350,15,0.7,1.0,HA
351,15,0.7,1.0,NSA
352,15,0.7,1.0,naive SA
353,15,0.7,1.0,advanced SA
354,15,0.6,-1.0,RA
355,15,0.6,0.0,SRA
356,15,0.6,0.0,HA
357,15,0.6,1.0,NSA
358,15,0.6,0.0,naive SA
359,15,0.6,1.0,advanced SA
360,16,0.9,-1.0,RA
361,16,0.9,0.0,SRA
362,16,0.9,1.0,HA
363,16,0.9,1.0,NSA
364,16,0.9,1.0,naive SA
365,16,0.9,1.0,advanced SA
366,16,0.8,-1.0,RA
367,16,0.8,0.0,SRA
368,16,0.8,1.0,HA
369,16,0.8,1.0,NSA
370,16,0.8,1.0,naive SA
371,16,0.8,1.0,advanced SA
372,16,0.7,-1.0,RA
373,16,0.7,0.0,SRA
374,16,0.7,0.0,HA
375,16,0.7,1.0,NSA
376,16,0.7,1.0,naive SA
377,16,0.7,1.0,advanced SA
378,16,0.6,-1.0,RA
379,16,0.6,0.0,SRA
380,16,0.6,0.0,HA
381,16,0.6,1.0,NSA
382,16,0.6,0.0,naive SA
383,16,0.6,1.0,advanced SA
384,17,0.9,-1.0,RA
385,17,0.9,0.0,SRA
386,17,0.9,1.0,HA
387,17,0.9,1.0,NSA
388,17,0.9,1.0,naive SA
389,17,0.9,1.0,advanced SA
390,17,0.8,-1.0,RA
391,17,0.8,0.0,SRA
392,17,0.8,1.0,HA
393,17,0.8,1.0,NSA
394,17,0.8,1.0,naive SA
395,17,0.8,1.0,advanced SA
396,17,0.7,-1.0,RA
397,17,0.7,0.0,SRA
398,17,0.7,1.0,HA
399,17,0.7,1.0,NSA
400,17,0.7,1.0,naive SA
401,17,0.7,1.0,advanced SA
402,17,0.6,-1.0,RA
403,17,0.6,0.0,SRA
404,17,0.6,1.0,HA
405,17,0.6,1.0,NSA
406,17,0.6,0.0,naive SA
407,17,0.6,1.0,advanced SA
408,18,0.9,-1.0,RA
409,18,0.9,0.0,SRA
410,18,0.9,1.0,HA
411,18,0.9,1.0,NSA
412,18,0.9,1.0,naive SA
413,18,0.9,1.0,advanced SA
414,18,0.8,-1.0,RA
415,18,0.8,0.0,SRA
416,18,0.8,0.0,HA
417,18,0.8,1.0,NSA
418,18,0.8,0.0,naive SA
419,18,0.8,1.0,advanced SA
420,18,0.7,-1.0,RA
421,18,0.7,0.0,SRA
422,18,0.7,1.0,HA
423,18,0.7,1.0,NSA
424,18,0.7,0.0,naive SA
425,18,0.7,1.0,advanced SA
426,18,0.6,-1.0,RA
427,18,0.6,0.0,SRA
428,18,0.6,0.0,HA
429,18,0.6,1.0,NSA
430,18,0.6,0.0,naive SA
431,18,0.6,1.0,advanced SA
432,19,0.9,-1.0,RA
433,19,0.9,0.0,SRA
434,19,0.9,1.0,HA
435,19,0.9,1.0,NSA
436,19,0.9,0.0,naive SA
437,19,0.9,1.0,advanced SA
438,19,0.8,-1.0,RA
439,19,0.8,0.0,SRA
440,19,0.8,1.0,HA
441,19,0.8,1.0,NSA
442,19,0.8,1.0,naive SA
443,19,0.8,1.0,advanced SA
444,19,0.7,-1.0,RA
445,19,0.7,0.0,SRA
446,19,0.7,0.0,HA
447,19,0.7,1.0,NSA
448,19,0.7,1.0,naive SA
449,19,0.7,1.0,advanced SA
450,19,0.6,-1.0,RA
451,19,0.6,0.0,SRA
452,19,0.6,1.0,HA
453,19,0.6,1.0,NSA
454,19,0.6,0.0,naive SA
455,19,0.6,1.0,advanced SA
456,20,0.9,-1.0,RA
457,20,0.9,0.0,SRA
458,20,0.9,1.0,HA
459,20,0.9,1.0,NSA
460,20,0.9,1.0,naive SA
461,20,0.9,1.0,advanced SA
462,20,0.8,-1.0,RA
463,20,0.8,0.0,SRA
464,20,0.8,0.0,HA
465,20,0.8,1.0,NSA
466,20,0.8,0.0,naive SA
467,20,0.8,1.0,advanced SA
468,20,0.7,-1.0,RA
469,20,0.7,0.0,SRA
470,20,0.7,0.0,HA
471,20,0.7,1.0,NSA
472,20,0.7,0.0,naive SA
473,20,0.7,1.0,advanced SA
